Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Africa,ZAF,1.26526167713664,2.72777320863835,4.7766284942627,5.10781669616699,5.29573822021484,5.57189130783081,5.82525587081909,6.15909337997437,6.42670106887817,6.52444847830835,6.67050060429452,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Sudan,SSD,..,..,1.59342787907878,2.29091910386011,2.50064091412904,2.60935782096652,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Spain,ESP,0.619073,0.739594,0.714129,0.694976,0.6748,0.662359,0.664562,0.642709,0.630102,0.634572,0.626643,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sri Lanka,LKA,9.96065921476835,19.093137855494,39.2888870239258,41.4474563598633,42.9389686584473,44.2983093261719,45.1831893920898,46.2829627990723,49.39013671875,50.3447979572942,50.5663045713958,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Kitts and Nevis,KNA,1.476561512133,1.62728308448072,1.96119391918182,2.01614737510681,2.03364706039429,2.03498554229736,2.0349133014679,2.03761649131775,2.03976440429688,1.96308258194187,1.95711112267431,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Lucia,LCA,1.62937730332062,1.73393140529668,1.82969319820404,1.87566316127777,1.87722980976105,1.93142795562744,2.01107478141785,1.9576119184494,1.99576032161713,1.96307397654605,1.9485791439721,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Vincent and the Grenadines,VCT,1.61368912576738,1.59542848277622,1.63591921329498,1.6499547958374,1.64324641227722,1.59582412242889,1.60510456562042,1.53349506855011,1.59044253826141,1.55759178436945,1.55216151620894,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sudan,SDN,0.00522229348002186,0.516002636040571,1.23147571086884,1.6391863822937,2.20716905593872,2.6209602355957,2.96842265129089,3.37343001365662,4.61896896362305,5.59254226782996,6.47656950504177,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Suriname,SUR,0.00205194358752303,0.451863553832245,1.86556231975555,1.92353367805481,1.84519410133362,1.8108571767807,1.82014083862305,2.42850780487061,2.57821440696716,2.63524891150061,3.00632814967311,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sweden,SWE,8.881512,9.16082,8.844042,8.654768,8.597681,8.727131,8.852008,8.823478,8.719468,8.828738,8.745862,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Switzerland,CHE,1.935157,1.788217,1.397498,1.354072,1.312477,1.281761,1.235456,1.202086,1.179916,1.167667,1.147826,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tajikistan,TJK,5.22357235731634E-06,0.274134996140072,1.56478023529053,1.66968774795532,1.64936029911041,1.65055990219116,1.91402864456177,2.03031325340271,2.23057007789612,2.28464582755854,2.35777661538239,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tanzania,TZA,51.299005590639,276.018793481827,546.073120117188,649.704956054688,706.309265136719,759.031494140625,803.8115234375,848.679565429688,885.082885742188,905.988886492242,931.694670559889,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Thailand,THA,8.95408237279447,11.0276674324105,12.3871974945068,12.2497034072876,12.300760269165,12.4879426956177,12.6408605575562,12.7310800552368,12.8447160720825,12.7323793210051,12.6077561426704,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Timor-Leste,TLS,..,0.327300970427021,0.45453202700875,0.436645794461489,0.487293696003918,0.452933233030273,0.457573800414269,0.432427953166528,0.408969540137466,0.392410744842215,0.397900225303336,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Togo,TGO,140.938272309279,221.258234376068,228.624969482422,237.89924621582,240.651260375977,238.234451293945,241.552154541016,243.553085327148,239.721725463867,237.306546423043,238.141026155873,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tonga,TON,0.666779702531635,0.923528486285429,1.45268475139735,1.45943750019859,1.44496224365731,1.43040924721035,1.43518587270677,1.44369266221767,1.47474082413048,1.49245543529323,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Trinidad and Tobago,TTO,2.49845903220508,2.78678782092398,3.94960689544678,4.09717798233032,4.31729984283447,4.37456893920898,4.23987770080566,4.10672616958618,4.16245174407959,4.31278713400812,4.28051937307659,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tunisia,TUN,0.398637244053675,0.507069427691384,0.596331477165222,0.634823262691498,0.670525074005127,0.699728846549988,0.742019951343536,0.766765475273132,0.794180154800415,0.826131279297606,0.869091473304948,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turkey,TUR,0.001187,0.281525,0.966176,1.019856,1.070294,1.104504,1.162141,1.241177,1.373044,1.60783,1.840536,..
